FFT von Winkelposition, Messreihe #2, Daten
Frequenz ( Hz )	Relative Amplitude (  )
0,000	0,844
0,039	0,003
0,078	0,003
0,117	0,003
0,156	0,003
0,195	0,003
0,234	0,003
0,273	0,003
0,313	0,003
0,352	0,003
0,391	0,003
0,430	0,003
0,469	0,003
0,508	0,003
0,547	0,003
0,586	0,003
0,625	0,003
0,664	0,003
0,703	0,003
0,742	0,003
0,781	0,003
0,820	0,003
0,859	0,003
0,898	0,003
0,938	0,003
0,977	0,003
1,016	0,003
1,055	0,003
1,094	0,003
1,133	0,003
1,172	0,003
1,211	0,003
1,250	0,003
1,289	0,003
1,328	0,003
1,367	0,003
1,406	0,003
1,445	0,003
1,484	0,003
1,523	0,003
1,563	0,004
1,602	0,004
1,641	0,004
1,680	0,004
1,719	0,004
1,758	0,004
1,797	0,004
1,836	0,004
1,875	0,004
1,914	0,004
1,953	0,004
1,992	0,004
2,031	0,004
2,070	0,004
2,109	0,004
2,148	0,004
2,188	0,004
2,227	0,004
2,266	0,004
2,305	0,004
2,344	0,005
2,383	0,005
2,422	0,005
2,461	0,005
2,500	0,005
2,539	0,005
2,578	0,005
2,617	0,005
2,656	0,005
2,695	0,005
2,734	0,005
2,773	0,005
2,813	0,006
2,852	0,006
2,891	0,006
2,930	0,006
2,969	0,006
3,008	0,006
3,047	0,006
3,086	0,006
3,125	0,006
3,164	0,007
3,203	0,007
3,242	0,007
3,281	0,007
3,320	0,007
3,359	0,007
3,398	0,008
3,438	0,008
3,477	0,008
3,516	0,008
3,555	0,009
3,594	0,009
3,633	0,009
3,672	0,009
3,711	0,010
3,750	0,010
3,789	0,011
3,828	0,011
3,867	0,011
3,906	0,012
3,945	0,012
3,984	0,013
4,023	0,013
4,063	0,014
4,102	0,014
4,141	0,015
4,180	0,016
4,219	0,017
4,258	0,018
4,297	0,019
4,336	0,020
4,375	0,021
4,414	0,023
4,453	0,025
4,492	0,027
4,531	0,029
4,570	0,031
4,609	0,035
4,648	0,041
4,688	0,044
4,727	0,052
4,766	0,062
4,805	0,074
4,844	0,101
4,883	0,160
4,922	0,262
4,961	0,476
5,000	1,000
5,039	0,208
5,078	0,140
5,117	0,115
5,156	0,084
5,195	0,066
5,234	0,060
5,273	0,050
5,313	0,044
5,352	0,040
5,391	0,036
5,430	0,032
5,469	0,030
5,508	0,028
5,547	0,026
5,586	0,025
5,625	0,023
5,664	0,022
5,703	0,021
5,742	0,020
5,781	0,019
5,820	0,018
5,859	0,017
5,898	0,017
5,938	0,016
5,977	0,015
6,016	0,015
6,055	0,015
6,094	0,014
6,133	0,014
6,172	0,013
6,211	0,013
6,250	0,012
6,289	0,012
6,328	0,012
6,367	0,012
6,406	0,011
6,445	0,011
6,484	0,011
6,523	0,011
6,563	0,011
6,602	0,010
6,641	0,010
6,680	0,010
6,719	0,010
6,758	0,010
6,797	0,009
6,836	0,009
6,875	0,009
6,914	0,009
6,953	0,009
6,992	0,009
7,031	0,009
7,070	0,008
7,109	0,008
7,148	0,008
7,188	0,008
7,227	0,008
7,266	0,008
7,305	0,008
7,344	0,008
7,383	0,008
7,422	0,008
7,461	0,008
7,500	0,008
7,539	0,007
7,578	0,007
7,617	0,007
7,656	0,007
7,695	0,007
7,734	0,007
7,773	0,007
7,813	0,007
7,852	0,007
7,891	0,007
7,930	0,007
7,969	0,007
8,008	0,007
8,047	0,007
8,086	0,007
8,125	0,007
8,164	0,007
8,203	0,007
8,242	0,006
8,281	0,006
8,320	0,006
8,359	0,006
8,398	0,006
8,438	0,006
8,477	0,006
8,516	0,006
8,555	0,006
8,594	0,006
8,633	0,006
8,672	0,006
8,711	0,006
8,750	0,006
8,789	0,006
8,828	0,006
8,867	0,006
8,906	0,006
8,945	0,006
8,984	0,006
9,023	0,006
9,063	0,006
9,102	0,006
9,141	0,006
9,180	0,006
9,219	0,006
9,258	0,006
9,297	0,006
9,336	0,006
9,375	0,006
9,414	0,006
9,453	0,006
9,492	0,006
9,531	0,006
9,570	0,006
9,609	0,006
9,648	0,006
9,688	0,006
9,727	0,006
9,766	0,006
9,805	0,006
9,844	0,006
9,883	0,007
9,922	0,011
9,961	0,017
