Winkelposition, Messreihe #2
Zeit ( s )	Winkelposition ( rad )
0,0000	-1,860
0,0500	-0,209
0,1000	-0,749
0,1500	-1,649
0,2000	0,159
0,2500	-1,494
0,3000	-0,974
0,3500	-0,050
0,4000	-1,858
0,4500	-0,223
0,5000	-0,732
0,5500	-1,660
0,6000	0,159
0,6500	-1,480
0,7000	-0,993
0,7500	-0,042
0,8000	-1,857
0,8500	-0,236
0,9000	-0,715
0,9500	-1,668
1,0000	0,157
1,0500	-1,472
1,1000	-1,001
1,1500	-0,035
1,2000	-1,857
1,2500	-0,237
1,3000	-0,715
1,3500	-1,670
1,4000	0,156
1,4500	-1,469
1,5000	-1,004
1,5500	-0,036
1,6000	-1,855
1,6500	-0,242
1,7000	-0,710
1,7500	-1,671
1,8000	0,156
1,8500	-1,469
1,9000	-1,005
1,9500	-0,033
2,0000	-1,855
2,0500	-0,242
2,1000	-0,710
2,1500	-1,671
2,2000	0,154
2,2500	-1,467
2,3000	-1,008
2,3500	-0,031
2,4000	-1,855
2,4500	-0,245
2,5000	-0,708
2,5500	-1,673
2,6000	0,156
2,6500	-1,466
2,7000	-1,010
2,7500	-0,031
2,8000	-1,854
2,8500	-0,248
2,9000	-0,702
2,9500	-1,676
3,0000	0,154
3,0500	-1,459
3,1000	-1,015
3,1500	-0,025
3,2000	-1,855
3,2500	-0,253
3,3000	-0,699
3,3500	-1,679
3,4000	0,152
3,4500	-1,455
3,5000	-1,021
3,5500	-0,024
3,6000	-1,854
3,6500	-0,258
3,7000	-0,690
3,7500	-1,684
3,8000	0,154
3,8500	-1,451
3,9000	-1,027
3,9500	-0,019
4,0000	-1,852
4,0500	-0,261
4,1000	-0,686
4,1500	-1,685
4,2000	0,151
4,2500	-1,445
4,3000	-1,032
4,3500	-0,014
4,4000	-1,852
4,4500	-0,270
4,5000	-0,679
4,5500	-1,692
4,6000	0,149
4,6500	-1,440
4,7000	-1,040
4,7500	-0,013
4,8000	-1,849
4,8500	-0,272
4,9000	-0,672
4,9500	-1,690
5,0000	0,151
5,0500	-1,442
5,1000	-1,037
5,1500	-0,014
5,2000	-1,852
5,2500	-0,265
5,3000	-0,682
5,3500	-1,687
5,4000	0,149
5,4500	-1,445
5,5000	-1,029
5,5500	-0,020
5,6000	-1,854
5,6500	-0,261
5,7000	-0,688
5,7500	-1,684
5,8000	0,154
5,8500	-1,455
5,9000	-1,019
5,9500	-0,025
6,0000	-1,854
6,0500	-0,250
6,1000	-0,702
6,1500	-1,674
6,2000	0,154
6,2500	-1,466
6,3000	-1,005
6,3500	-0,035
6,4000	-1,855
6,4500	-0,237
6,5000	-0,721
6,5500	-1,665
6,6000	0,159
6,6500	-1,480
6,7000	-0,990
6,7500	-0,044
6,8000	-1,858
6,8500	-0,226
6,9000	-0,729
6,9500	-1,657
7,0000	0,159
7,0500	-1,488
7,1000	-0,975
7,1500	-0,052
