Winkelposition, Messreihe #2
Zeit ( s )	Winkelposition ( rad )
0,0000	-0,064
0,0500	-0,686
0,1000	-1,612
0,1500	-1,931
0,2000	-1,395
0,2500	-0,504
0,3000	0,002
0,3500	0,052
0,4000	-0,286
0,4500	-1,147
0,5000	-1,877
0,5500	-1,766
0,6000	-0,961
0,6500	-0,193
0,7000	0,068
0,7500	-0,050
0,8000	-0,652
0,8500	-1,583
0,9000	-1,935
0,9500	-1,423
1,0000	-0,529
1,0500	-0,006
1,1000	0,057
1,1500	-0,273
1,2000	-1,126
1,2500	-1,869
1,3000	-1,773
1,3500	-0,972
1,4000	-0,196
1,4500	0,068
1,5000	-0,052
1,5500	-0,655
1,6000	-1,590
1,6500	-1,934
1,7000	-1,415
1,7500	-0,522
1,8000	-0,003
1,8500	0,053
1,9000	-0,291
1,9500	-1,156
2,0000	-1,880
2,0500	-1,756
2,1000	-0,941
2,1500	-0,179
2,2000	0,069
2,2500	-0,064
2,3000	-0,693
2,3500	-1,619
2,4000	-1,927
2,4500	-1,381
2,5000	-0,487
2,5500	0,008
2,6000	0,047
2,6500	-0,314
2,7000	-1,195
2,7500	-1,893
2,8000	-1,734
2,8500	-0,905
2,9000	-0,159
2,9500	0,071
3,0000	-0,080
3,0500	-0,734
3,1000	-1,652
3,1500	-1,920
3,2000	-1,337
3,2500	-0,446
3,3000	0,020
3,3500	0,038
3,4000	-0,366
3,4500	-1,271
3,5000	-1,913
3,5500	-1,682
3,6000	-0,825
3,6500	-0,119
3,7000	0,071
3,7500	-0,119
3,8000	-0,836
3,8500	-1,725
3,9000	-1,894
3,9500	-1,238
4,0000	-0,366
4,0500	0,039
4,1000	0,016
4,1500	-0,446
4,2000	-1,378
4,2500	-1,934
4,3000	-1,602
4,3500	-0,719
4,4000	-0,072
4,4500	0,071
4,5000	-0,174
4,5500	-0,950
4,6000	-1,794
4,6500	-1,852
4,7000	-1,126
4,7500	-0,291
4,8000	0,055
4,8500	-0,009
4,9000	-0,537
4,9500	-1,477
5,0000	-1,940
5,0500	-1,524
5,1000	-0,625
5,1500	-0,036
5,2000	0,064
5,2500	-0,223
5,3000	-1,043
5,3500	-1,836
5,4000	-1,814
5,4500	-1,046
5,5000	-0,237
5,5500	0,063
5,6000	-0,033
5,6500	-0,605
5,7000	-1,544
5,7500	-1,938
5,8000	-1,459
5,8500	-0,562
5,9000	-0,017
5,9500	0,058
6,0000	-0,262
6,0500	-1,112
6,1000	-1,866
6,1500	-1,780
6,2000	-0,980
6,2500	-0,201
6,3000	0,068
6,3500	-0,052
6,4000	-0,658
6,4500	-1,591
6,5000	-1,934
6,5500	-1,411
6,6000	-0,514
6,6500	-0,002
6,7000	0,050
6,7500	-0,298
6,8000	-1,170
6,8500	-1,885
6,9000	-1,747
6,9500	-0,925
7,0000	-0,170
7,0500	0,071
7,1000	-0,072
7,1500	-0,715
7,2000	-1,638
7,2500	-1,924
7,3000	-1,352
7,3500	-0,460
7,4000	0,017
7,4500	0,041
7,5000	-0,349
7,5500	-1,247
7,6000	-1,909
7,6500	-1,698
7,7000	-0,848
7,7500	-0,130
7,8000	0,072
7,8500	-0,105
7,9000	-0,798
7,9500	-1,700
8,0000	-1,904
8,0500	-1,274
8,1000	-0,396
8,1500	0,033
8,2000	0,027
8,2500	-0,410
8,3000	-1,330
8,3500	-1,926
8,4000	-1,641
8,4500	-0,770
8,5000	-0,094
8,5500	0,071
8,6000	-0,143
8,6500	-0,884
8,7000	-1,755
8,7500	-1,879
8,8000	-1,194
8,8500	-0,336
8,9000	0,046
8,9500	0,009
9,0000	-0,473
9,0500	-1,406
9,1000	-1,935
9,1500	-1,583
9,2000	-0,696
9,2500	-0,064
9,3000	0,069
9,3500	-0,178
9,4000	-0,953
9,4500	-1,792
9,5000	-1,854
9,5500	-1,136
9,6000	-0,298
9,6500	0,052
9,7000	0,002
9,7500	-0,493
9,8000	-1,426
9,8500	-1,937
9,9000	-1,576
9,9500	-0,694
10,0000	-0,066
10,0500	0,071
10,1000	-0,159
10,1500	-0,906
10,2000	-1,764
10,2500	-1,876
10,3000	-1,194
10,3500	-0,344
10,4000	0,041
10,4500	0,020
10,5000	-0,419
10,5500	-1,332
10,6000	-1,924
10,6500	-1,652
10,7000	-0,793
10,7500	-0,112
10,8000	0,071
10,8500	-0,104
10,9000	-0,784
10,9500	-1,684
11,0000	-1,913
11,0500	-1,313
11,1000	-0,437
11,1500	0,017
11,2000	0,044
11,2500	-0,322
11,3000	-1,199
11,3500	-1,891
11,4000	-1,740
11,4500	-0,925
11,5000	-0,176
11,5500	0,069
11,6000	-0,050
11,6500	-0,647
11,7000	-1,576
11,7500	-1,937
11,8000	-1,442
11,8500	-0,554
11,9000	-0,017
11,9500	0,060
12,0000	-0,232
12,0500	-1,048
12,1000	-1,835
12,1500	-1,821
12,2000	-1,068
12,2500	-0,259
12,3000	0,058
12,3500	-0,009
12,4000	-0,518
12,4500	-1,448
12,5000	-1,938
12,5500	-1,563
12,6000	-0,680
12,6500	-0,064
12,7000	0,071
12,7500	-0,156
12,8000	-0,897
12,8500	-1,758
12,9000	-1,880
12,9500	-1,206
13,0000	-0,350
13,0500	0,039
13,1000	0,020
13,1500	-0,416
13,2000	-1,332
13,2500	-1,926
13,3000	-1,648
13,3500	-0,787
13,4000	-0,105
13,4500	0,071
13,5000	-0,116
13,5500	-0,814
13,6000	-1,707
13,6500	-1,902
13,7000	-1,272
13,7500	-0,399
13,8000	0,030
13,8500	0,031
13,9000	-0,380
13,9500	-1,286
14,0000	-1,916
14,0500	-1,678
14,1000	-0,825
14,1500	-0,124
14,2000	0,072
14,2500	-0,104
14,3000	-0,792
14,3500	-1,693
14,4000	-1,909
14,4500	-1,290
14,5000	-0,412
14,5500	0,027
14,6000	0,033
14,6500	-0,380
14,7000	-1,286
14,7500	-1,916
14,8000	-1,676
14,8500	-0,820
14,9000	-0,119
14,9500	0,072
15,0000	-0,112
15,0500	-0,809
15,1000	-1,706
15,1500	-1,902
15,2000	-1,269
15,2500	-0,396
15,3000	0,031
15,3500	0,027
15,4000	-0,404
15,4500	-1,319
15,5000	-1,924
15,5500	-1,649
15,6000	-0,781
15,6500	-0,101
15,7000	0,072
15,7500	-0,135
15,8000	-0,866
15,8500	-1,744
15,9000	-1,883
15,9500	-1,210
16,0000	-0,346
16,0500	0,044
16,1000	0,011
16,1500	-0,468
16,2000	-1,404
16,2500	-1,935
16,3000	-1,583
16,3500	-0,697
16,4000	-0,064
16,4500	0,069
16,5000	-0,185
16,5500	-0,974
16,6000	-1,805
16,6500	-1,843
16,7000	-1,104
16,7500	-0,275
16,8000	0,058
16,8500	-0,017
16,9000	-0,567
16,9500	-1,508
17,0000	-1,940
17,0500	-1,489
17,1000	-0,587
17,1500	-0,024
17,2000	0,060
17,2500	-0,258
17,3000	-1,107
17,3500	-1,865
17,4000	-1,778
17,4500	-0,975
17,5000	-0,195
17,5500	0,068
17,6000	-0,064
17,6500	-0,699
17,7000	-1,629
17,7500	-1,926
17,8000	-1,359
17,8500	-0,463
17,9000	0,016
17,9500	0,038
18,0000	-0,363
18,0500	-1,269
18,1000	-1,915
18,1500	-1,681
18,2000	-0,818
18,2500	-0,115
18,3000	0,072
18,3500	-0,127
18,4000	-0,853
18,4500	-1,737
18,5000	-1,887
18,5500	-1,213
18,6000	-0,344
18,6500	0,046
18,7000	0,006
18,7500	-0,490
18,8000	-1,433
18,8500	-1,938
18,9000	-1,552
18,9500	-0,653
19,0000	-0,044
19,0500	0,064
19,1000	-0,228
19,1500	-1,059
19,2000	-1,846
19,2500	-1,800
19,3000	-1,012
19,3500	-0,214
19,4000	0,066
19,4500	-0,057
19,5000	-0,685
19,5500	-1,618
19,6000	-1,927
19,6500	-1,368
19,7000	-0,467
19,7500	0,017
19,8000	0,038
19,8500	-0,372
19,9000	-1,290
19,9500	-1,920
20,0000	-1,662
20,0500	-0,789
20,1000	-0,097
20,1500	0,071
20,2000	-0,157
20,2500	-0,925
20,3000	-1,784
20,3500	-1,857
20,4000	-1,131
20,4500	-0,286
20,5000	0,058
20,5500	-0,022
20,6000	-0,591
20,6500	-1,536
20,7000	-1,938
20,7500	-1,450
20,8000	-0,542
20,8500	-0,005
20,9000	0,049
20,9500	-0,320
21,0000	-1,217
21,0500	-1,902
21,1000	-1,707
21,1500	-0,851
21,2000	-0,126
21,2500	0,072
21,3000	-0,132
21,3500	-0,872
21,4000	-1,753
21,4500	-1,877
21,5000	-1,178
21,5500	-0,316
21,6000	0,052
21,6500	-0,009
21,7000	-0,556
21,7500	-1,503
21,8000	-1,940
21,8500	-1,483
21,9000	-0,573
21,9500	-0,016
22,0000	0,055
