FFT von Winkelposition, Messreihe #2, Daten
Frequenz ( Hz )	Relative Amplitude (  )
0,000	0,632
0,039	0,002
0,078	0,002
0,117	0,002
0,156	0,002
0,195	0,002
0,234	0,002
0,273	0,002
0,313	0,002
0,352	0,002
0,391	0,002
0,430	0,002
0,469	0,002
0,508	0,002
0,547	0,002
0,586	0,002
0,625	0,002
0,664	0,002
0,703	0,002
0,742	0,002
0,781	0,002
0,820	0,002
0,859	0,002
0,898	0,002
0,938	0,002
0,977	0,002
1,016	0,002
1,055	0,002
1,094	0,002
1,133	0,002
1,172	0,002
1,211	0,002
1,250	0,002
1,289	0,003
1,328	0,003
1,367	0,003
1,406	0,003
1,445	0,003
1,484	0,003
1,523	0,003
1,563	0,003
1,602	0,003
1,641	0,003
1,680	0,003
1,719	0,003
1,758	0,003
1,797	0,004
1,836	0,003
1,875	0,003
1,914	0,003
1,953	0,003
1,992	0,004
2,031	0,004
2,070	0,004
2,109	0,004
2,148	0,004
2,188	0,004
2,227	0,004
2,266	0,004
2,305	0,004
2,344	0,004
2,383	0,004
2,422	0,004
2,461	0,004
2,500	0,005
2,539	0,005
2,578	0,005
2,617	0,005
2,656	0,005
2,695	0,005
2,734	0,005
2,773	0,005
2,813	0,005
2,852	0,006
2,891	0,006
2,930	0,006
2,969	0,006
3,008	0,006
3,047	0,006
3,086	0,006
3,125	0,006
3,164	0,006
3,203	0,007
3,242	0,007
3,281	0,007
3,320	0,007
3,359	0,007
3,398	0,007
3,438	0,007
3,477	0,007
3,516	0,007
3,555	0,006
3,594	0,006
3,633	0,004
3,672	0,012
3,711	0,011
3,750	0,010
3,789	0,010
3,828	0,010
3,867	0,010
3,906	0,011
3,945	0,011
3,984	0,011
4,023	0,012
4,063	0,012
4,102	0,012
4,141	0,013
4,180	0,013
4,219	0,013
4,258	0,014
4,297	0,014
4,336	0,015
4,375	0,016
4,414	0,016
4,453	0,017
4,492	0,017
4,531	0,018
4,570	0,019
4,609	0,020
4,648	0,021
4,688	0,022
4,727	0,023
4,766	0,025
4,805	0,026
4,844	0,027
4,883	0,029
4,922	0,032
4,961	0,034
5,000	0,038
5,039	0,039
5,078	0,045
5,117	0,050
5,156	0,054
5,195	0,062
5,234	0,069
5,273	0,091
5,313	0,114
5,352	0,147
5,391	0,304
5,430	0,810
5,469	1,000
5,508	0,300
5,547	0,218
5,586	0,139
5,625	0,106
5,664	0,093
5,703	0,073
5,742	0,063
5,781	0,053
5,820	0,047
5,859	0,043
5,898	0,038
5,938	0,036
5,977	0,033
6,016	0,031
6,055	0,029
6,094	0,027
6,133	0,025
6,172	0,024
6,211	0,023
6,250	0,022
6,289	0,020
6,328	0,019
6,367	0,018
6,406	0,018
6,445	0,017
6,484	0,016
6,523	0,016
6,563	0,015
6,602	0,015
6,641	0,014
6,680	0,013
6,719	0,013
6,758	0,013
6,797	0,012
6,836	0,012
6,875	0,012
6,914	0,011
6,953	0,011
6,992	0,011
7,031	0,010
7,070	0,010
7,109	0,010
7,148	0,009
7,188	0,009
7,227	0,009
7,266	0,008
7,305	0,009
7,344	0,008
7,383	0,008
7,422	0,008
7,461	0,008
7,500	0,007
7,539	0,007
7,578	0,007
7,617	0,007
7,656	0,007
7,695	0,007
7,734	0,007
7,773	0,006
7,813	0,006
7,852	0,006
7,891	0,006
7,930	0,006
7,969	0,006
8,008	0,006
8,047	0,006
8,086	0,005
8,125	0,005
8,164	0,005
8,203	0,005
8,242	0,005
8,281	0,005
8,320	0,005
8,359	0,005
8,398	0,005
8,438	0,005
8,477	0,004
8,516	0,004
8,555	0,004
8,594	0,004
8,633	0,004
8,672	0,004
8,711	0,004
8,750	0,004
8,789	0,004
8,828	0,004
8,867	0,004
8,906	0,004
8,945	0,004
8,984	0,003
9,023	0,004
9,063	0,002
9,102	0,017
9,141	0,005
9,180	0,003
9,219	0,004
9,258	0,004
9,297	0,004
9,336	0,004
9,375	0,004
9,414	0,004
9,453	0,004
9,492	0,004
9,531	0,003
9,570	0,003
9,609	0,003
9,648	0,003
9,688	0,003
9,727	0,003
9,766	0,003
9,805	0,003
9,844	0,003
9,883	0,003
9,922	0,003
9,961	0,003
