#Temperatur, Messreihe #2
#Zeit ( s )	Temperatur ( °C )
0,0000	-21,6
0,2000	-21,6
0,4000	-21,5
0,6000	-21,5
0,8000	-21,5
1,0000	-21,5
1,2000	-21,4
1,4000	-21,4
1,6000	-21,3
1,8000	-21,3
2,0000	-21,2
2,2000	-21,2
2,4000	-21,1
2,6000	-21,0
2,8000	-21,0
3,0000	-20,9
3,2000	-20,8
3,4000	-20,7
3,6000	-20,7
3,8000	-20,6
4,0000	-20,5
4,2000	-20,4
4,4000	-20,3
4,6000	-20,2
4,8000	-20,1
5,0000	-20,0
5,2000	-19,9
5,4000	-19,8
5,6000	-19,7
5,8000	-19,6
6,0000	-19,5
6,2000	-19,3
6,4000	-19,2
6,6000	-19,1
6,8000	-19,0
7,0000	-18,9
7,2000	-18,8
7,4000	-18,6
7,6000	-18,5
7,8000	-18,4
8,0000	-18,3
8,2000	-18,1
8,4000	-18,0
8,6000	-17,9
8,8000	-17,8
9,0000	-17,6
9,2000	-17,5
9,4000	-17,4
9,6000	-17,3
9,8000	-17,1
10,0000	-17,0
10,2000	-16,9
10,4000	-16,7
10,6000	-16,6
10,8000	-16,5
11,0000	-16,3
11,2000	-16,2
11,4000	-16,1
11,6000	-16,0
11,8000	-15,8
12,0000	-15,7
12,2000	-15,6
12,4000	-15,4
12,6000	-15,3
12,8000	-15,2
13,0000	-15,0
13,2000	-14,9
13,4000	-14,8
13,6000	-14,6
13,8000	-14,5
14,0000	-14,4
14,2000	-14,2
14,4000	-14,1
14,6000	-14,0
14,8000	-13,9
15,0000	-13,7
15,2000	-13,6
15,4000	-13,5
15,6000	-13,3
15,8000	-13,2
16,0000	-13,1
16,2000	-12,9
16,4000	-12,8
16,6000	-12,7
16,8000	-12,6
17,0000	-12,4
17,2000	-12,3
17,4000	-12,2
17,6000	-12,0
17,8000	-11,9
18,0000	-11,8
18,2000	-11,7
18,4000	-11,5
18,6000	-11,4
18,8000	-11,3
19,0000	-11,1
19,2000	-11,0
19,4000	-10,9
19,6000	-10,8
19,8000	-10,6
20,0000	-10,5
20,2000	-10,4
20,4000	-10,3
20,6000	-10,1
20,8000	-10,0
21,0000	-9,9
21,2000	-9,8
21,4000	-9,7
21,6000	-9,5
21,8000	-9,4
22,0000	-9,3
22,2000	-9,2
22,4000	-9,0
22,6000	-8,9
22,8000	-8,8
23,0000	-8,7
23,2000	-8,6
23,4000	-8,4
23,6000	-8,3
23,8000	-8,2
24,0000	-8,1
24,2000	-8,0
24,4000	-7,9
24,6000	-7,7
24,8000	-7,6
25,0000	-7,5
25,2000	-7,4
25,4000	-7,3
25,6000	-7,2
25,8000	-7,1
26,0000	-6,9
26,2000	-6,8
26,4000	-6,7
26,6000	-6,6
26,8000	-6,5
27,0000	-6,4
27,2000	-6,3
27,4000	-6,2
27,6000	-6,1
27,8000	-5,9
28,0000	-5,8
28,2000	-5,7
28,4000	-5,6
28,6000	-5,5
28,8000	-5,4
29,0000	-5,3
29,2000	-5,2
29,4000	-5,1
29,6000	-5,0
29,8000	-4,9
30,0000	-4,8
30,2000	-4,7
30,4000	-4,6
30,6000	-4,4
30,8000	-4,3
31,0000	-4,3
31,2000	-4,2
31,4000	-4,1
31,6000	-4,0
31,8000	-3,9
32,0000	-3,8
32,2000	-3,7
32,4000	-3,6
32,6000	-3,5
32,8000	-3,4
33,0000	-3,3
33,2000	-3,2
33,4000	-3,1
33,6000	-3,1
33,8000	-3,0
34,0000	-2,9
34,2000	-2,8
34,4000	-2,7
34,6000	-2,7
34,8000	-2,6
35,0000	-2,5
35,2000	-2,4
35,4000	-2,4
35,6000	-2,3
35,8000	-2,2
36,0000	-2,2
36,2000	-2,1
36,4000	-2,0
36,6000	-2,0
36,8000	-1,9
37,0000	-1,8
37,2000	-1,8
37,4000	-1,7
37,6000	-1,7
37,8000	-1,6
38,0000	-1,5
38,2000	-1,5
38,4000	-1,4
38,6000	-1,4
38,8000	-1,3
39,0000	-1,3
39,2000	-1,3
39,4000	-1,2
39,6000	-1,2
39,8000	-1,1
40,0000	-1,1
40,2000	-1,0
40,4000	-1,0
40,6000	-1,0
40,8000	-0,9
41,0000	-0,9
41,2000	-0,9
41,4000	-0,8
41,6000	-0,8
41,8000	-0,8
42,0000	-0,7
42,2000	-0,7
42,4000	-0,7
42,6000	-0,7
42,8000	-0,6
43,0000	-0,6
43,2000	-0,6
43,4000	-0,6
43,6000	-0,5
43,8000	-0,5
44,0000	-0,5
44,2000	-0,5
44,4000	-0,5
44,6000	-0,4
44,8000	-0,4
45,0000	-0,4
45,2000	-0,4
45,4000	-0,4
45,6000	-0,3
45,8000	-0,3
46,0000	-0,3
46,2000	-0,3
46,4000	-0,3
46,6000	-0,3
46,8000	-0,2
47,0000	-0,2
47,2000	-0,2
47,4000	-0,2
47,6000	-0,2
47,8000	-0,2
48,0000	-0,2
48,2000	-0,1
48,4000	-0,1
48,6000	-0,1
48,8000	-0,1
49,0000	-0,1
49,2000	-0,1
49,4000	-0,1
49,6000	-0,1
49,8000	-0,1
50,0000	0,0
50,2000	0,0
50,4000	0,0
50,6000	0,0
50,8000	0,0
51,0000	0,0
51,2000	0,0
51,4000	0,0
51,6000	0,0
51,8000	0,0
52,0000	0,0
52,2000	0,0
52,4000	0,1
52,6000	0,1
52,8000	0,1
53,0000	0,1
53,2000	0,1
53,4000	0,1
53,6000	0,1
53,8000	0,1
54,0000	0,1
54,2000	0,1
54,4000	0,1
54,6000	0,1
54,8000	0,1
55,0000	0,1
55,2000	0,1
55,4000	0,1
55,6000	0,1
55,8000	0,2
56,0000	0,2
56,2000	0,2
56,4000	0,2
56,6000	0,2
56,8000	0,2
57,0000	0,2
57,2000	0,2
57,4000	0,2
57,6000	0,2
57,8000	0,2
58,0000	0,2
58,2000	0,2
58,4000	0,2
58,6000	0,2
58,8000	0,2
59,0000	0,2
59,2000	0,2
59,4000	0,2
59,6000	0,2
59,8000	0,2
60,0000	0,2
60,2000	0,2
60,4000	0,3
60,6000	0,3
60,8000	0,3
61,0000	0,3
61,2000	0,3
61,4000	0,3
61,6000	0,3
61,8000	0,3
62,0000	0,3
62,2000	0,3
62,4000	0,3
62,6000	0,3
62,8000	0,3
63,0000	0,3
63,2000	0,3
63,4000	0,3
63,6000	0,3
63,8000	0,3
64,0000	0,3
64,2000	0,3
64,4000	0,3
64,6000	0,3
64,8000	0,3
65,0000	0,3
65,2000	0,3
65,4000	0,3
65,6000	0,3
65,8000	0,3
66,0000	0,3
66,2000	0,3
66,4000	0,4
66,6000	0,4
66,8000	0,4
67,0000	0,4
67,2000	0,4
67,4000	0,4
67,6000	0,4
67,8000	0,4
68,0000	0,4
68,2000	0,4
68,4000	0,4
68,6000	0,4
68,8000	0,4
69,0000	0,4
69,2000	0,4
69,4000	0,4
