#FFT von Winkelposition, Daten
#Frequenz ( Hz )	Relative Amplitude (  )
0,0000	0,914
0,0391	0,003
0,0781	0,003
0,1172	0,003
0,1563	0,003
0,1953	0,003
0,2344	0,003
0,2734	0,003
0,3125	0,003
0,3516	0,003
0,3906	0,003
0,4297	0,003
0,4688	0,003
0,5078	0,003
0,5469	0,003
0,5859	0,003
0,6250	0,004
0,6641	0,004
0,7031	0,004
0,7422	0,004
0,7813	0,004
0,8203	0,004
0,8594	0,004
0,8984	0,005
0,9375	0,005
0,9766	0,005
1,0156	0,005
1,0547	0,005
1,0938	0,006
1,1328	0,006
1,1719	0,006
1,2109	0,007
1,2500	0,007
1,2891	0,008
1,3281	0,008
1,3672	0,009
1,4063	0,009
1,4453	0,010
1,4844	0,011
1,5234	0,012
1,5625	0,012
1,6016	0,013
1,6406	0,015
1,6797	0,016
1,7188	0,018
1,7578	0,021
1,7969	0,024
1,8359	0,026
1,8750	0,031
1,9141	0,038
1,9531	0,047
1,9922	0,063
2,0313	0,092
2,0703	0,174
2,1094	1,000
2,1484	0,271
2,1875	0,118
2,2266	0,077
2,2656	0,058
2,3047	0,046
2,3438	0,038
2,3828	0,033
2,4219	0,030
2,4609	0,026
2,5000	0,024
2,5391	0,022
2,5781	0,020
2,6172	0,019
2,6563	0,018
2,6953	0,017
2,7344	0,016
2,7734	0,015
2,8125	0,014
2,8516	0,014
2,8906	0,013
2,9297	0,013
2,9688	0,012
3,0078	0,012
3,0469	0,011
3,0859	0,011
3,1250	0,011
3,1641	0,010
3,2031	0,010
3,2422	0,010
3,2813	0,010
3,3203	0,010
3,3594	0,009
3,3984	0,009
3,4375	0,009
3,4766	0,009
3,5156	0,009
3,5547	0,008
3,5938	0,008
3,6328	0,008
3,6719	0,008
3,7109	0,008
3,7500	0,008
3,7891	0,008
3,8281	0,007
3,8672	0,007
3,9063	0,007
3,9453	0,007
3,9844	0,007
4,0234	0,007
4,0625	0,007
4,1016	0,007
4,1406	0,008
4,1797	0,009
4,2188	0,020
4,2578	0,016
4,2969	0,008
4,3359	0,007
4,3750	0,007
4,4141	0,007
4,4531	0,006
4,4922	0,007
4,5313	0,006
4,5703	0,006
4,6094	0,006
4,6484	0,006
4,6875	0,006
4,7266	0,006
4,7656	0,006
4,8047	0,006
4,8438	0,006
4,8828	0,006
4,9219	0,006
4,9609	0,006
5,0000	0,006
5,0391	0,006
5,0781	0,006
5,1172	0,006
5,1563	0,006
5,1953	0,006
5,2344	0,006
5,2734	0,006
5,3125	0,006
5,3516	0,006
5,3906	0,005
5,4297	0,005
5,4688	0,005
5,5078	0,005
5,5469	0,005
5,5859	0,005
5,6250	0,005
5,6641	0,005
5,7031	0,005
5,7422	0,005
5,7813	0,005
5,8203	0,005
5,8594	0,005
5,8984	0,005
5,9375	0,005
5,9766	0,005
6,0156	0,005
6,0547	0,005
6,0938	0,005
6,1328	0,005
6,1719	0,005
6,2109	0,005
6,2500	0,005
6,2891	0,005
6,3281	0,005
6,3672	0,006
6,4063	0,005
6,4453	0,005
6,4844	0,005
6,5234	0,005
6,5625	0,005
6,6016	0,005
6,6406	0,005
6,6797	0,005
6,7188	0,005
6,7578	0,005
6,7969	0,005
6,8359	0,005
6,8750	0,005
6,9141	0,005
6,9531	0,005
6,9922	0,005
7,0313	0,005
7,0703	0,005
7,1094	0,005
7,1484	0,005
7,1875	0,005
7,2266	0,005
7,2656	0,005
7,3047	0,005
7,3438	0,005
7,3828	0,005
7,4219	0,005
7,4609	0,005
7,5000	0,005
7,5391	0,005
7,5781	0,005
7,6172	0,005
7,6563	0,005
7,6953	0,005
7,7344	0,005
7,7734	0,005
7,8125	0,005
7,8516	0,005
7,8906	0,005
7,9297	0,005
7,9688	0,005
8,0078	0,005
8,0469	0,005
8,0859	0,005
8,1250	0,005
8,1641	0,005
8,2031	0,005
8,2422	0,005
8,2813	0,005
8,3203	0,005
8,3594	0,005
8,3984	0,005
8,4375	0,005
8,4766	0,005
8,5156	0,005
8,5547	0,005
8,5938	0,005
8,6328	0,005
8,6719	0,005
8,7109	0,005
8,7500	0,005
8,7891	0,005
8,8281	0,005
8,8672	0,005
8,9063	0,005
8,9453	0,005
8,9844	0,005
9,0234	0,005
9,0625	0,005
9,1016	0,005
9,1406	0,005
9,1797	0,005
9,2188	0,005
9,2578	0,005
9,2969	0,005
9,3359	0,005
9,3750	0,004
9,4141	0,004
9,4531	0,005
9,4922	0,005
9,5313	0,005
9,5703	0,005
9,6094	0,005
9,6484	0,005
9,6875	0,005
9,7266	0,005
9,7656	0,005
9,8047	0,004
9,8438	0,005
9,8828	0,005
9,9219	0,005
9,9609	0,005
