#FFT von Winkelposition, Daten
#Frequenz ( Hz )	Relative Amplitude (  )
0,0000	0,655
0,0391	0,007
0,0781	0,008
0,1172	0,008
0,1563	0,008
0,1953	0,008
0,2344	0,008
0,2734	0,008
0,3125	0,008
0,3516	0,008
0,3906	0,008
0,4297	0,008
0,4688	0,008
0,5078	0,008
0,5469	0,008
0,5859	0,008
0,6250	0,008
0,6641	0,008
0,7031	0,008
0,7422	0,008
0,7813	0,009
0,8203	0,009
0,8594	0,009
0,8984	0,009
0,9375	0,009
0,9766	0,009
1,0156	0,010
1,0547	0,010
1,0938	0,010
1,1328	0,010
1,1719	0,011
1,2109	0,011
1,2500	0,011
1,2891	0,012
1,3281	0,012
1,3672	0,012
1,4063	0,013
1,4453	0,013
1,4844	0,014
1,5234	0,014
1,5625	0,015
1,6016	0,016
1,6406	0,017
1,6797	0,018
1,7188	0,019
1,7578	0,020
1,7969	0,022
1,8359	0,024
1,8750	0,026
1,9141	0,029
1,9531	0,032
1,9922	0,037
2,0313	0,043
2,0703	0,051
2,1094	0,065
2,1484	0,089
2,1875	0,139
2,2266	0,320
2,2656	1,000
2,3047	0,194
2,3438	0,107
2,3828	0,075
2,4219	0,057
2,4609	0,046
2,5000	0,038
2,5391	0,033
2,5781	0,029
2,6172	0,026
2,6563	0,023
2,6953	0,021
2,7344	0,019
2,7734	0,018
2,8125	0,017
2,8516	0,016
2,8906	0,015
2,9297	0,014
2,9688	0,013
3,0078	0,012
3,0469	0,012
3,0859	0,011
3,1250	0,011
3,1641	0,010
3,2031	0,010
3,2422	0,010
3,2813	0,009
3,3203	0,009
3,3594	0,009
3,3984	0,008
3,4375	0,008
3,4766	0,008
3,5156	0,008
3,5547	0,007
3,5938	0,007
3,6328	0,007
3,6719	0,007
3,7109	0,007
3,7500	0,006
3,7891	0,006
3,8281	0,006
3,8672	0,006
3,9063	0,006
3,9453	0,006
3,9844	0,006
4,0234	0,005
4,0625	0,005
4,1016	0,005
4,1406	0,005
4,1797	0,005
4,2188	0,005
4,2578	0,005
4,2969	0,004
4,3359	0,004
4,3750	0,004
4,4141	0,003
4,4531	0,002
4,4922	0,010
4,5313	0,020
4,5703	0,010
4,6094	0,008
4,6484	0,007
4,6875	0,006
4,7266	0,006
4,7656	0,006
4,8047	0,006
4,8438	0,006
4,8828	0,005
4,9219	0,005
4,9609	0,005
5,0000	0,005
5,0391	0,005
5,0781	0,005
5,1172	0,005
5,1563	0,005
5,1953	0,005
5,2344	0,005
5,2734	0,005
5,3125	0,005
5,3516	0,005
5,3906	0,005
5,4297	0,005
5,4688	0,005
5,5078	0,005
5,5469	0,004
5,5859	0,004
5,6250	0,004
5,6641	0,004
5,7031	0,004
5,7422	0,004
5,7813	0,004
5,8203	0,004
5,8594	0,004
5,8984	0,004
5,9375	0,004
5,9766	0,004
6,0156	0,004
6,0547	0,004
6,0938	0,004
6,1328	0,004
6,1719	0,004
6,2109	0,004
6,2500	0,004
6,2891	0,004
6,3281	0,004
6,3672	0,004
6,4063	0,004
6,4453	0,004
6,4844	0,004
6,5234	0,004
6,5625	0,004
6,6016	0,004
6,6406	0,004
6,6797	0,004
6,7188	0,004
6,7578	0,006
6,7969	0,003
6,8359	0,004
6,8750	0,004
6,9141	0,004
6,9531	0,004
6,9922	0,004
7,0313	0,004
7,0703	0,004
7,1094	0,004
7,1484	0,004
7,1875	0,004
7,2266	0,004
7,2656	0,004
7,3047	0,004
7,3438	0,004
7,3828	0,004
7,4219	0,004
7,4609	0,004
7,5000	0,004
7,5391	0,004
7,5781	0,004
7,6172	0,004
7,6563	0,004
7,6953	0,004
7,7344	0,004
7,7734	0,004
7,8125	0,004
7,8516	0,004
7,8906	0,004
7,9297	0,004
7,9688	0,004
8,0078	0,004
8,0469	0,004
8,0859	0,004
8,1250	0,004
8,1641	0,004
8,2031	0,004
8,2422	0,004
8,2813	0,004
8,3203	0,004
8,3594	0,004
8,3984	0,004
8,4375	0,004
8,4766	0,004
8,5156	0,004
8,5547	0,004
8,5938	0,004
8,6328	0,004
8,6719	0,004
8,7109	0,004
8,7500	0,004
8,7891	0,004
8,8281	0,004
8,8672	0,004
8,9063	0,004
8,9453	0,004
8,9844	0,004
9,0234	0,004
9,0625	0,004
9,1016	0,004
9,1406	0,003
9,1797	0,004
9,2188	0,004
9,2578	0,004
9,2969	0,004
9,3359	0,003
9,3750	0,004
9,4141	0,004
9,4531	0,004
9,4922	0,004
9,5313	0,003
9,5703	0,004
9,6094	0,004
9,6484	0,003
9,6875	0,004
9,7266	0,004
9,7656	0,004
9,8047	0,003
9,8438	0,003
9,8828	0,004
9,9219	0,004
9,9609	0,004
