#FFT von Winkelposition, Daten
#Frequenz ( Hz )	Relative Amplitude (  )
0,0000	0,864
1,9531	0,026
3,9063	0,060
5,8594	0,165
7,8125	1,000
9,7656	0,151
11,7188	0,087
13,6719	0,063
15,6250	0,051
17,5781	0,042
19,5313	0,036
21,4844	0,030
23,4375	0,031
25,3906	0,027
27,3438	0,024
29,2969	0,022
31,2500	0,021
33,2031	0,020
35,1563	0,018
37,1094	0,018
39,0625	0,016
41,0156	0,016
42,9688	0,015
44,9219	0,014
46,8750	0,013
48,8281	0,013
50,7813	0,013
52,7344	0,012
54,6875	0,012
56,6406	0,011
58,5938	0,011
60,5469	0,010
62,5000	0,010
64,4531	0,010
66,4063	0,010
68,3594	0,009
70,3125	0,009
72,2656	0,009
74,2188	0,009
76,1719	0,008
78,1250	0,008
80,0781	0,008
82,0313	0,008
83,9844	0,008
85,9375	0,008
87,8906	0,007
89,8438	0,007
91,7969	0,007
93,7500	0,007
95,7031	0,007
97,6563	0,007
99,6094	0,006
101,5625	0,007
103,5156	0,006
105,4688	0,006
107,4219	0,006
109,3750	0,006
111,3281	0,006
113,2813	0,006
115,2344	0,006
117,1875	0,006
119,1406	0,006
121,0938	0,006
123,0469	0,005
125,0000	0,005
126,9531	0,005
128,9063	0,005
130,8594	0,005
132,8125	0,005
134,7656	0,005
136,7188	0,005
138,6719	0,005
140,6250	0,005
142,5781	0,005
144,5313	0,005
146,4844	0,005
148,4375	0,005
150,3906	0,005
152,3438	0,005
154,2969	0,004
156,2500	0,004
158,2031	0,004
160,1563	0,004
162,1094	0,004
164,0625	0,004
166,0156	0,004
167,9688	0,004
169,9219	0,004
171,8750	0,004
173,8281	0,004
175,7813	0,004
177,7344	0,004
179,6875	0,004
181,6406	0,004
183,5938	0,004
185,5469	0,004
187,5000	0,004
189,4531	0,004
191,4063	0,004
193,3594	0,004
195,3125	0,004
197,2656	0,004
199,2188	0,004
201,1719	0,004
203,1250	0,004
205,0781	0,004
207,0313	0,004
208,9844	0,004
210,9375	0,004
212,8906	0,004
214,8438	0,004
216,7969	0,004
218,7500	0,004
220,7031	0,004
222,6563	0,004
224,6094	0,003
226,5625	0,003
228,5156	0,003
230,4688	0,003
232,4219	0,003
234,3750	0,003
236,3281	0,003
238,2813	0,003
240,2344	0,003
242,1875	0,003
244,1406	0,003
246,0938	0,003
248,0469	0,003
250,0000	0,003
251,9531	0,003
253,9063	0,003
255,8594	0,003
257,8125	0,003
259,7656	0,003
261,7188	0,003
263,6719	0,003
265,6250	0,003
267,5781	0,003
269,5313	0,003
271,4844	0,003
273,4375	0,003
275,3906	0,003
277,3438	0,003
279,2969	0,003
281,2500	0,003
283,2031	0,003
285,1563	0,003
287,1094	0,003
289,0625	0,003
291,0156	0,003
292,9688	0,003
294,9219	0,003
296,8750	0,003
298,8281	0,003
300,7813	0,003
302,7344	0,003
304,6875	0,003
306,6406	0,003
308,5938	0,003
310,5469	0,003
312,5000	0,003
314,4531	0,003
316,4063	0,003
318,3594	0,003
320,3125	0,003
322,2656	0,003
324,2188	0,003
326,1719	0,003
328,1250	0,003
330,0781	0,003
332,0313	0,003
333,9844	0,003
335,9375	0,003
337,8906	0,003
339,8438	0,003
341,7969	0,003
343,7500	0,003
345,7031	0,003
347,6563	0,003
349,6094	0,003
351,5625	0,003
353,5156	0,003
355,4688	0,003
357,4219	0,003
359,3750	0,003
361,3281	0,003
363,2813	0,003
365,2344	0,003
367,1875	0,003
369,1406	0,003
371,0938	0,003
373,0469	0,003
375,0000	0,003
376,9531	0,003
378,9063	0,003
380,8594	0,003
382,8125	0,003
384,7656	0,003
386,7188	0,003
388,6719	0,003
390,6250	0,003
392,5781	0,003
394,5313	0,003
396,4844	0,003
398,4375	0,003
400,3906	0,003
402,3438	0,003
404,2969	0,003
406,2500	0,003
408,2031	0,003
410,1563	0,003
412,1094	0,003
414,0625	0,003
416,0156	0,003
417,9688	0,003
419,9219	0,003
421,8750	0,003
423,8281	0,003
425,7813	0,003
427,7344	0,003
429,6875	0,003
431,6406	0,003
433,5938	0,003
435,5469	0,003
437,5000	0,003
439,4531	0,003
441,4063	0,003
443,3594	0,003
445,3125	0,003
447,2656	0,003
449,2188	0,003
451,1719	0,003
453,1250	0,003
455,0781	0,003
457,0313	0,003
458,9844	0,003
460,9375	0,003
462,8906	0,003
464,8438	0,003
466,7969	0,003
468,7500	0,003
470,7031	0,003
472,6563	0,003
474,6094	0,003
476,5625	0,003
478,5156	0,003
480,4688	0,003
482,4219	0,003
484,3750	0,003
486,3281	0,003
488,2813	0,003
490,2344	0,003
492,1875	0,003
494,1406	0,003
496,0938	0,003
498,0469	0,003
