#FFT von Winkelposition, Daten
#Frequenz ( Hz )	Relative Amplitude (  )
0,0000	1,152
1,9531	0,122
3,9062	0,149
5,8594	0,235
7,8125	1,000
9,7656	0,339
11,7187	0,135
13,6719	0,082
15,6250	0,062
17,5781	0,037
19,5312	0,033
21,4844	0,028
23,4375	0,025
25,3906	0,019
27,3437	0,019
29,2969	0,018
31,2500	0,016
33,2031	0,016
35,1562	0,014
37,1094	0,013
39,0625	0,013
41,0156	0,012
42,9687	0,012
44,9219	0,012
46,8750	0,011
48,8281	0,011
50,7812	0,011
52,7344	0,010
54,6875	0,010
56,6406	0,010
58,5937	0,010
60,5469	0,010
62,5000	0,009
64,4531	0,009
66,4062	0,009
68,3594	0,009
70,3125	0,009
72,2656	0,009
74,2187	0,009
76,1719	0,008
78,1250	0,008
80,0781	0,009
82,0312	0,008
83,9844	0,008
85,9375	0,008
87,8906	0,009
89,8437	0,008
91,7969	0,008
93,7500	0,008
95,7031	0,008
97,6562	0,008
99,6094	0,008
101,5625	0,008
103,5156	0,008
105,4687	0,008
107,4219	0,008
109,3750	0,008
111,3281	0,008
113,2812	0,008
115,2344	0,008
117,1875	0,008
119,1406	0,008
121,0937	0,008
123,0469	0,008
125,0000	0,008
126,9531	0,008
128,9062	0,008
130,8594	0,008
132,8125	0,008
134,7656	0,008
136,7187	0,008
138,6719	0,008
140,6250	0,008
142,5781	0,008
144,5312	0,008
146,4844	0,008
148,4375	0,008
150,3906	0,008
152,3437	0,007
154,2969	0,008
156,2500	0,008
158,2031	0,008
160,1562	0,008
162,1094	0,008
164,0625	0,007
166,0156	0,007
167,9687	0,007
169,9219	0,007
171,8750	0,007
173,8281	0,007
175,7812	0,007
177,7344	0,007
179,6875	0,007
181,6406	0,007
183,5937	0,007
185,5469	0,007
187,5000	0,008
189,4531	0,007
191,4062	0,007
193,3594	0,007
195,3125	0,007
197,2656	0,007
199,2187	0,007
201,1719	0,007
203,1250	0,007
205,0781	0,007
207,0312	0,007
208,9844	0,007
210,9375	0,007
212,8906	0,007
214,8437	0,007
216,7969	0,007
218,7500	0,007
220,7031	0,007
222,6562	0,007
224,6094	0,007
226,5625	0,007
228,5156	0,007
230,4687	0,007
232,4219	0,007
234,3750	0,007
236,3281	0,007
238,2812	0,007
240,2344	0,007
242,1875	0,007
244,1406	0,007
246,0937	0,007
248,0469	0,007
250,0000	0,007
251,9531	0,007
253,9062	0,007
255,8594	0,007
257,8125	0,007
259,7656	0,007
261,7187	0,007
263,6719	0,007
265,6250	0,007
267,5781	0,007
269,5312	0,007
271,4844	0,007
273,4375	0,007
275,3906	0,007
277,3437	0,007
279,2969	0,007
281,2500	0,007
283,2031	0,007
285,1562	0,007
287,1094	0,007
289,0625	0,007
291,0156	0,007
292,9687	0,007
294,9219	0,007
296,8750	0,007
298,8281	0,007
300,7812	0,007
302,7344	0,007
304,6875	0,007
306,6406	0,007
308,5937	0,007
310,5469	0,007
312,5000	0,007
314,4531	0,007
316,4062	0,007
318,3594	0,007
320,3125	0,007
322,2656	0,007
324,2187	0,007
326,1719	0,007
328,1250	0,007
330,0781	0,007
332,0312	0,007
333,9844	0,007
335,9375	0,007
337,8906	0,007
339,8437	0,007
341,7969	0,007
343,7500	0,007
345,7031	0,007
347,6562	0,007
349,6094	0,007
351,5625	0,007
353,5156	0,007
355,4687	0,007
357,4219	0,007
359,3750	0,007
361,3281	0,007
363,2812	0,007
365,2344	0,007
367,1875	0,007
369,1406	0,007
371,0937	0,007
373,0469	0,007
375,0000	0,007
376,9531	0,007
378,9062	0,007
380,8594	0,007
382,8125	0,007
384,7656	0,007
386,7187	0,007
388,6719	0,007
390,6250	0,007
392,5781	0,007
394,5312	0,007
396,4844	0,007
398,4375	0,007
400,3906	0,007
402,3437	0,007
404,2969	0,007
406,2500	0,007
408,2031	0,007
410,1562	0,007
412,1094	0,007
414,0625	0,007
416,0156	0,007
417,9687	0,007
419,9219	0,007
421,8750	0,007
423,8281	0,007
425,7812	0,007
427,7344	0,007
429,6875	0,007
431,6406	0,007
433,5937	0,007
435,5469	0,007
437,5000	0,007
439,4531	0,007
441,4062	0,007
443,3594	0,007
445,3125	0,007
447,2656	0,007
449,2187	0,007
451,1719	0,007
453,1250	0,007
455,0781	0,007
457,0312	0,007
458,9844	0,007
460,9375	0,007
462,8906	0,007
464,8437	0,007
466,7969	0,007
468,7500	0,007
470,7031	0,007
472,6562	0,007
474,6094	0,007
476,5625	0,007
478,5156	0,007
480,4687	0,007
482,4219	0,007
484,3750	0,007
486,3281	0,007
488,2812	0,007
490,2344	0,007
492,1875	0,007
494,1406	0,007
496,0937	0,007
498,0469	0,007
