#FFT von Winkelposition, Daten
#Frequenz ( Hz )	Relative Amplitude (  )
0,0000	1,032
0,0391	0,013
0,0781	0,013
0,1172	0,013
0,1563	0,013
0,1953	0,013
0,2344	0,013
0,2734	0,013
0,3125	0,013
0,3516	0,013
0,3906	0,013
0,4297	0,013
0,4688	0,013
0,5078	0,013
0,5469	0,014
0,5859	0,013
0,6250	0,014
0,6641	0,014
0,7031	0,014
0,7422	0,014
0,7813	0,014
0,8203	0,014
0,8594	0,014
0,8984	0,014
0,9375	0,014
0,9766	0,014
1,0156	0,015
1,0547	0,015
1,0938	0,015
1,1328	0,015
1,1719	0,015
1,2109	0,015
1,2500	0,015
1,2891	0,016
1,3281	0,016
1,3672	0,016
1,4063	0,016
1,4453	0,016
1,4844	0,017
1,5234	0,017
1,5625	0,017
1,6016	0,018
1,6406	0,018
1,6797	0,018
1,7188	0,019
1,7578	0,019
1,7969	0,020
1,8359	0,020
1,8750	0,021
1,9141	0,021
1,9531	0,022
1,9922	0,022
2,0313	0,023
2,0703	0,023
2,1094	0,025
2,1484	0,025
2,1875	0,026
2,2266	0,027
2,2656	0,029
2,3047	0,030
2,3438	0,032
2,3828	0,034
2,4219	0,035
2,4609	0,038
2,5000	0,040
2,5391	0,043
2,5781	0,047
2,6172	0,051
2,6563	0,057
2,6953	0,064
2,7344	0,072
2,7734	0,085
2,8125	0,102
2,8516	0,133
2,8906	0,185
2,9297	0,316
2,9688	1,000
3,0078	0,782
3,0469	0,271
3,0859	0,166
3,1250	0,117
3,1641	0,093
3,2031	0,074
3,2422	0,063
3,2813	0,053
3,3203	0,047
3,3594	0,042
3,3984	0,037
3,4375	0,034
3,4766	0,031
3,5156	0,028
3,5547	0,026
3,5938	0,024
3,6328	0,022
3,6719	0,021
3,7109	0,019
3,7500	0,018
3,7891	0,017
3,8281	0,016
3,8672	0,015
3,9063	0,015
3,9453	0,014
3,9844	0,013
4,0234	0,013
4,0625	0,012
4,1016	0,011
4,1406	0,011
4,1797	0,010
4,2188	0,010
4,2578	0,010
4,2969	0,009
4,3359	0,009
4,3750	0,008
4,4141	0,008
4,4531	0,008
4,4922	0,007
4,5313	0,007
4,5703	0,007
4,6094	0,007
4,6484	0,007
4,6875	0,006
4,7266	0,006
4,7656	0,006
4,8047	0,006
4,8438	0,006
4,8828	0,005
4,9219	0,005
4,9609	0,005
5,0000	0,005
5,0391	0,005
5,0781	0,005
5,1172	0,004
5,1563	0,004
5,1953	0,004
5,2344	0,004
5,2734	0,004
5,3125	0,004
5,3516	0,004
5,3906	0,004
5,4297	0,004
5,4688	0,004
5,5078	0,004
5,5469	0,004
5,5859	0,003
5,6250	0,004
5,6641	0,003
5,7031	0,003
5,7422	0,003
5,7813	0,003
5,8203	0,004
5,8594	0,004
5,8984	0,004
5,9375	0,006
5,9766	0,023
6,0156	2,745E-4
6,0547	7,646E-4
6,0938	0,001
6,1328	0,001
6,1719	0,001
6,2109	0,001
6,2500	0,002
6,2891	0,002
6,3281	0,002
6,3672	0,002
6,4063	0,002
6,4453	0,002
6,4844	0,002
6,5234	0,001
6,5625	0,002
6,6016	0,001
6,6406	0,001
6,6797	0,001
6,7188	0,001
6,7578	0,001
6,7969	0,001
6,8359	0,001
6,8750	0,001
6,9141	0,001
6,9531	0,001
6,9922	9,069E-4
7,0313	0,001
7,0703	0,001
7,1094	0,001
7,1484	0,001
7,1875	0,001
7,2266	0,001
7,2656	9,540E-4
7,3047	9,850E-4
7,3438	9,893E-4
7,3828	8,893E-4
7,4219	8,565E-4
7,4609	9,015E-4
7,5000	8,145E-4
7,5391	8,102E-4
7,5781	8,310E-4
7,6172	7,653E-4
7,6563	7,930E-4
7,6953	7,443E-4
7,7344	6,477E-4
7,7734	5,739E-4
7,8125	6,746E-4
7,8516	6,907E-4
7,8906	6,161E-4
7,9297	6,772E-4
7,9688	7,477E-4
8,0078	6,438E-4
8,0469	6,287E-4
8,0859	6,189E-4
8,1250	6,679E-4
8,1641	5,541E-4
8,2031	5,491E-4
8,2422	4,998E-4
8,2813	6,723E-4
8,3203	6,191E-4
8,3594	4,814E-4
8,3984	4,843E-4
8,4375	5,631E-4
8,4766	5,422E-4
8,5156	5,798E-4
8,5547	4,976E-4
8,5938	3,554E-4
8,6328	6,930E-4
8,6719	5,369E-4
8,7109	5,771E-4
8,7500	4,435E-4
8,7891	6,811E-4
8,8281	4,726E-4
8,8672	5,359E-4
8,9063	8,209E-4
8,9453	0,002
8,9844	8,778E-4
9,0234	3,111E-4
9,0625	3,779E-4
9,1016	3,829E-4
9,1406	3,624E-4
9,1797	3,642E-4
9,2188	3,836E-4
9,2578	4,565E-4
9,2969	3,864E-4
9,3359	3,100E-4
9,3750	3,663E-4
9,4141	3,296E-4
9,4531	4,824E-4
9,4922	4,828E-4
9,5313	3,100E-4
9,5703	3,213E-4
9,6094	4,507E-4
9,6484	3,655E-4
9,6875	3,574E-4
9,7266	4,144E-4
9,7656	3,788E-4
9,8047	3,976E-4
9,8438	3,551E-4
9,8828	4,255E-4
9,9219	3,687E-4
9,9609	3,348E-4
