#FFT von Winkelposition, Daten
#Frequenz ( Hz )	Relative Amplitude (  )
0,0000	0,280
1,9531	0,304
3,9063	1,000
5,8594	0,163
7,8125	0,146
9,7656	0,094
11,7188	0,065
13,6719	0,054
15,6250	0,046
17,5781	0,041
19,5313	0,036
21,4844	0,033
23,4375	0,030
25,3906	0,027
27,3438	0,025
29,2969	0,023
31,2500	0,022
33,2031	0,021
35,1563	0,020
37,1094	0,019
39,0625	0,018
41,0156	0,017
42,9688	0,016
44,9219	0,015
46,8750	0,015
48,8281	0,014
50,7813	0,014
52,7344	0,013
54,6875	0,013
56,6406	0,012
58,5938	0,012
60,5469	0,012
62,5000	0,011
64,4531	0,011
66,4063	0,011
68,3594	0,010
70,3125	0,010
72,2656	0,010
74,2188	0,010
76,1719	0,009
78,1250	0,009
80,0781	0,009
82,0313	0,009
83,9844	0,009
85,9375	0,008
87,8906	0,008
89,8438	0,008
91,7969	0,008
93,7500	0,008
95,7031	0,008
97,6563	0,008
99,6094	0,007
101,5625	0,007
103,5156	0,007
105,4688	0,007
107,4219	0,007
109,3750	0,007
111,3281	0,007
113,2813	0,007
115,2344	0,007
117,1875	0,006
119,1406	0,006
121,0938	0,006
123,0469	0,006
125,0000	0,006
126,9531	0,006
128,9063	0,006
130,8594	0,006
132,8125	0,006
134,7656	0,006
136,7188	0,006
138,6719	0,006
140,6250	0,006
142,5781	0,006
144,5313	0,006
146,4844	0,006
148,4375	0,006
150,3906	0,006
152,3438	0,005
154,2969	0,005
156,2500	0,005
158,2031	0,005
160,1563	0,005
162,1094	0,005
164,0625	0,005
166,0156	0,005
167,9688	0,005
169,9219	0,005
171,8750	0,005
173,8281	0,005
175,7813	0,005
177,7344	0,005
179,6875	0,005
181,6406	0,005
183,5938	0,005
185,5469	0,005
187,5000	0,005
189,4531	0,005
191,4063	0,005
193,3594	0,005
195,3125	0,005
197,2656	0,005
199,2188	0,005
201,1719	0,005
203,1250	0,005
205,0781	0,005
207,0313	0,005
208,9844	0,005
210,9375	0,005
212,8906	0,005
214,8438	0,004
216,7969	0,005
218,7500	0,005
220,7031	0,004
222,6563	0,004
224,6094	0,004
226,5625	0,004
228,5156	0,004
230,4688	0,004
232,4219	0,004
234,3750	0,004
236,3281	0,004
238,2813	0,004
240,2344	0,004
242,1875	0,004
244,1406	0,004
246,0938	0,004
248,0469	0,004
250,0000	0,004
251,9531	0,004
253,9063	0,004
255,8594	0,004
257,8125	0,004
259,7656	0,004
261,7188	0,004
263,6719	0,004
265,6250	0,004
267,5781	0,004
269,5313	0,004
271,4844	0,004
273,4375	0,004
275,3906	0,004
277,3438	0,004
279,2969	0,004
281,2500	0,004
283,2031	0,004
285,1563	0,004
287,1094	0,004
289,0625	0,004
291,0156	0,004
292,9688	0,004
294,9219	0,004
296,8750	0,004
298,8281	0,004
300,7813	0,004
302,7344	0,004
304,6875	0,004
306,6406	0,004
308,5938	0,004
310,5469	0,004
312,5000	0,004
314,4531	0,004
316,4063	0,004
318,3594	0,004
320,3125	0,004
322,2656	0,004
324,2188	0,004
326,1719	0,004
328,1250	0,004
330,0781	0,004
332,0313	0,004
333,9844	0,004
335,9375	0,004
337,8906	0,004
339,8438	0,004
341,7969	0,004
343,7500	0,004
345,7031	0,004
347,6563	0,004
349,6094	0,004
351,5625	0,004
353,5156	0,004
355,4688	0,004
357,4219	0,004
359,3750	0,004
361,3281	0,004
363,2813	0,004
365,2344	0,004
367,1875	0,004
369,1406	0,004
371,0938	0,004
373,0469	0,004
375,0000	0,004
376,9531	0,004
378,9063	0,004
380,8594	0,004
382,8125	0,004
384,7656	0,004
386,7188	0,004
388,6719	0,004
390,6250	0,004
392,5781	0,004
394,5313	0,004
396,4844	0,004
398,4375	0,004
400,3906	0,004
402,3438	0,004
404,2969	0,004
406,2500	0,004
408,2031	0,004
410,1563	0,004
412,1094	0,004
414,0625	0,004
416,0156	0,004
417,9688	0,004
419,9219	0,004
421,8750	0,004
423,8281	0,004
425,7813	0,004
427,7344	0,004
429,6875	0,004
431,6406	0,004
433,5938	0,004
435,5469	0,004
437,5000	0,004
439,4531	0,004
441,4063	0,004
443,3594	0,004
445,3125	0,004
447,2656	0,004
449,2188	0,004
451,1719	0,004
453,1250	0,004
455,0781	0,004
457,0313	0,004
458,9844	0,004
460,9375	0,004
462,8906	0,004
464,8438	0,004
466,7969	0,004
468,7500	0,004
470,7031	0,004
472,6563	0,004
474,6094	0,004
476,5625	0,004
478,5156	0,004
480,4688	0,004
482,4219	0,004
484,3750	0,004
486,3281	0,004
488,2813	0,004
490,2344	0,004
492,1875	0,004
494,1406	0,004
496,0938	0,004
498,0469	0,004
