#Winkelposition, Messreihe #1
#Zeit ( s )	Winkelposition ( rad )
0,0000	1,323
0,0500	1,786
0,1000	1,381
0,1500	0,460
0,2000	-0,185
0,2500	-0,093
0,3000	0,672
0,3500	1,532
0,4000	1,761
0,4500	1,134
0,5000	0,217
0,5500	-0,242
0,6000	0,074
0,6500	0,944
0,7000	1,687
0,7500	1,657
0,8000	0,862
0,8500	0,013
0,9000	-0,231
0,9500	0,294
1,0000	1,211
1,0500	1,773
1,1000	1,480
1,1500	0,586
1,2000	-0,138
1,2500	-0,152
1,3000	0,548
1,3500	1,442
1,4000	1,781
1,4500	1,252
1,5000	0,322
1,5500	-0,223
1,6000	-0,008
1,6500	0,818
1,7000	1,626
1,7500	1,712
1,8000	0,991
1,8500	0,101
1,9000	-0,243
1,9500	0,187
2,0000	1,090
2,0500	1,742
2,1000	1,568
2,1500	0,713
2,2000	-0,075
2,2500	-0,196
2,3000	0,426
2,3500	1,340
2,4000	1,786
2,4500	1,367
2,5000	0,443
2,5500	-0,192
2,6000	-0,083
2,6500	0,691
2,7000	1,547
2,7500	1,755
2,8000	1,118
2,8500	0,203
2,9000	-0,242
2,9500	0,090
3,0000	0,964
3,0500	1,695
3,1000	1,646
3,1500	0,845
3,2000	0,002
3,2500	-0,228
3,3000	0,308
3,3500	1,224
3,4000	1,775
3,4500	1,469
3,5000	0,569
3,5500	-0,145
3,6000	-0,145
3,6500	0,565
3,7000	1,456
3,7500	1,780
3,8000	1,235
3,8500	0,306
3,9000	-0,228
3,9500	0,003
4,0000	0,840
4,0500	1,635
4,1000	1,704
4,1500	0,969
4,2000	0,085
4,2500	-0,243
4,3000	0,204
4,3500	1,109
4,4000	1,748
4,4500	1,555
4,5000	0,693
4,5500	-0,086
4,6000	-0,192
4,6500	0,443
4,7000	1,354
4,7500	1,788
4,8000	1,348
4,8500	0,424
4,9000	-0,198
4,9500	-0,074
5,0000	0,710
5,0500	1,558
5,1000	1,750
5,1500	1,096
5,2000	0,182
5,2500	-0,243
5,3000	0,105
5,3500	0,985
5,4000	1,704
5,4500	1,632
5,5000	0,820
5,5500	-0,016
5,6000	-0,223
5,6500	0,331
5,7000	1,249
5,7500	1,778
5,8000	1,447
5,8500	0,545
5,9000	-0,154
5,9500	-0,135
6,0000	0,589
6,0500	1,473
6,1000	1,775
6,1500	1,214
6,2000	0,286
6,2500	-0,232
6,3000	0,019
6,3500	0,866
6,4000	1,651
6,4500	1,692
6,5000	0,942
6,5500	0,066
6,6000	-0,240
6,6500	0,226
6,7000	1,134
6,7500	1,755
6,8000	1,536
6,8500	0,663
6,9000	-0,102
6,9500	-0,181
7,0000	0,473
7,0500	1,379
7,1000	1,786
7,1500	1,324
7,2000	0,396
7,2500	-0,206
7,3000	-0,058
7,3500	0,740
7,4000	1,577
7,4500	1,740
7,5000	1,068
7,5500	0,160
7,6000	-0,243
7,6500	0,126
7,7000	1,016
7,7500	1,717
7,8000	1,616
7,8500	0,792
7,9000	-0,033
7,9500	-0,217
8,0000	0,357
8,0500	1,271
8,1000	1,781
8,1500	1,428
8,2000	0,514
8,2500	-0,167
8,3000	-0,121
8,3500	0,617
8,4000	1,495
8,4500	1,772
8,5000	1,184
8,5500	0,261
8,6000	-0,236
8,6500	0,038
8,7000	0,891
8,7500	1,662
8,8000	1,681
8,8500	0,917
8,9000	0,047
8,9500	-0,239
9,0000	0,250
9,0500	1,161
9,1000	1,761
9,1500	1,517
9,2000	0,638
9,2500	-0,113
9,3000	-0,173
9,3500	0,495
9,4000	1,398
9,4500	1,786
9,5000	1,304
9,5500	0,377
9,6000	-0,212
9,6500	-0,044
9,7000	0,765
9,7500	1,591
9,8000	1,733
9,8500	1,049
9,9000	0,145
9,9500	-0,243
10,0000	0,140
10,0500	1,032
10,1000	1,723
10,1500	1,605
10,2000	0,770
10,2500	-0,044
10,3000	-0,212
10,3500	0,374
10,4000	1,291
10,4500	1,784
10,5000	1,409
10,5500	0,496
10,6000	-0,173
10,6500	-0,112
10,7000	0,638
10,7500	1,510
10,8000	1,767
10,8500	1,167
10,9000	0,245
10,9500	-0,239
11,0000	0,052
11,0500	0,911
11,1000	1,674
11,1500	1,670
11,2000	0,895
11,2500	0,035
11,3000	-0,236
11,3500	0,269
11,4000	1,183
11,4500	1,770
11,5000	1,499
11,5500	0,611
11,6000	-0,126
11,6500	-0,162
11,7000	0,525
11,7500	1,425
11,8000	1,784
11,8500	1,269
11,9000	0,341
11,9500	-0,220
12,0000	-0,019
12,0500	0,803
12,1000	1,615
12,1500	1,718
12,2000	1,004
12,2500	0,112
12,3000	-0,243
12,3500	0,178
12,4000	1,082
12,4500	1,739
12,5000	1,572
12,5500	0,718
12,6000	-0,074
12,6500	-0,196
12,7000	0,426
12,7500	1,340
12,8000	1,786
12,8500	1,363
12,9000	0,440
12,9500	-0,192
13,0000	-0,082
13,0500	0,696
13,1000	1,550
13,1500	1,753
13,2000	1,106
13,2500	0,192
13,3000	-0,242
13,3500	0,099
13,4000	0,979
13,4500	1,701
13,5000	1,635
13,5500	0,825
13,6000	-0,013
13,6500	-0,225
13,7000	0,328
13,7500	1,244
13,8000	1,778
13,8500	1,448
13,9000	0,542
13,9500	-0,157
14,0000	-0,130
14,0500	0,595
14,1000	1,478
14,1500	1,775
14,2000	1,205
14,2500	0,280
14,3000	-0,232
14,3500	0,027
14,4000	0,878
14,4500	1,656
14,5000	1,687
14,5500	0,928
14,6000	0,053
14,6500	-0,239
14,7000	0,247
14,7500	1,158
14,8000	1,761
14,8500	1,519
14,9000	0,633
14,9500	-0,116
15,0000	-0,170
15,0500	0,504
15,1000	1,407
15,1500	1,784
15,2000	1,288
15,2500	0,360
15,3000	-0,217
15,3500	-0,031
15,4000	0,787
15,4500	1,607
15,5000	1,723
15,5500	1,018
15,6000	0,119
15,6500	-0,245
15,7000	0,170
15,7500	1,070
15,8000	1,737
15,8500	1,580
15,9000	0,729
15,9500	-0,068
16,0000	-0,201
16,0500	0,415
16,1000	1,330
16,1500	1,786
16,2000	1,368
16,2500	0,446
16,3000	-0,192
16,3500	-0,085
16,4000	0,693
16,4500	1,547
16,5000	1,755
16,5500	1,112
16,6000	0,196
16,6500	-0,243
16,7000	0,096
16,7500	0,975
16,8000	1,701
16,8500	1,638
16,9000	0,825
16,9500	-0,011
17,0000	-0,225
17,0500	0,327
17,1000	1,246
17,1500	1,778
17,2000	1,448
17,2500	0,542
17,3000	-0,157
17,3500	-0,130
17,4000	0,597
17,4500	1,480
17,5000	1,775
17,5500	1,203
17,6000	0,275
17,6500	-0,232
17,7000	0,030
17,7500	0,883
17,8000	1,660
17,8500	1,685
17,9000	0,924
17,9500	0,052
18,0000	-0,239
18,0500	0,245
18,1000	1,161
18,1500	1,761
18,2000	1,517
18,2500	0,635
18,3000	-0,116
18,3500	-0,170
18,4000	0,504
18,4500	1,409
18,5000	1,786
18,5500	1,286
18,6000	0,355
18,6500	-0,217
18,7000	-0,028
18,7500	0,790
18,8000	1,610
18,8500	1,722
18,9000	1,013
18,9500	0,116
19,0000	-0,243
19,0500	0,173
19,1000	1,073
19,1500	1,739
19,2000	1,579
19,2500	0,726
19,3000	-0,071
19,3500	-0,199
19,4000	0,419
19,4500	1,335
19,5000	1,788
19,5500	1,368
19,6000	0,443
19,6500	-0,193
19,7000	-0,080
19,7500	0,697
19,8000	1,552
19,8500	1,751
19,9000	1,103
19,9500	0,190
20,0000	-0,243
20,0500	0,102
20,1000	0,985
20,1500	1,706
20,2000	1,630
20,2500	0,814
20,3000	-0,019
20,3500	-0,221
20,4000	0,339
20,4500	1,258
20,5000	1,780
20,5500	1,436
20,6000	0,525
20,6500	-0,163
20,7000	-0,124
20,7500	0,611
20,8000	1,492
20,8500	1,772
20,9000	1,188
20,9500	0,262
21,0000	-0,236
21,0500	0,039
21,1000	0,898
21,1500	1,665
21,2000	1,678
21,2500	0,911
21,3000	0,042
21,3500	-0,237
21,4000	0,256
21,4500	1,170
21,5000	1,766
21,5500	1,506
21,6000	0,616
21,6500	-0,124
21,7000	-0,163
21,7500	0,523
21,8000	1,423
21,8500	1,784
21,9000	1,271
21,9500	0,341
22,0000	-0,220
22,0500	-0,019
22,1000	0,807
22,1500	1,618
22,2000	1,715
22,2500	0,999
22,3000	0,104
22,3500	-0,243
22,4000	0,187
22,4500	1,090
22,5000	1,744
22,5500	1,566
22,6000	0,707
22,6500	-0,080
22,7000	-0,193
22,7500	0,437
22,8000	1,351
22,8500	1,788
22,9000	1,352
22,9500	0,429
23,0000	-0,196
23,0500	-0,074
23,1000	0,713
23,1500	1,561
23,2000	1,747
23,2500	1,089
23,3000	0,178
23,3500	-0,245
23,4000	0,112
23,4500	0,997
23,5000	1,709
23,5500	1,623
23,6000	0,801
23,6500	-0,025
23,7000	-0,218
23,7500	0,350
23,8000	1,271
23,8500	1,781
23,9000	1,425
23,9500	0,514
24,0000	-0,168
24,0500	-0,119
24,1000	0,622
24,1500	1,497
24,2000	1,769
24,2500	1,180
24,3000	0,253
24,3500	-0,234
24,4000	0,046
24,4500	0,906
24,5000	1,670
24,5500	1,673
24,6000	0,895
24,6500	0,033
24,7000	-0,234
24,7500	0,272
24,8000	1,189
24,8500	1,769
24,9000	1,492
24,9500	0,602
25,0000	-0,132
25,0500	-0,157
25,1000	0,537
25,1500	1,433
25,2000	1,783
25,2500	1,258
25,3000	0,330
25,3500	-0,223
25,4000	-0,011
25,4500	0,818
25,5000	1,626
25,5500	1,711
25,6000	0,985
25,6500	0,096
25,7000	-0,243
25,7500	0,195
25,8000	1,100
25,8500	1,745
25,9000	1,560
25,9500	0,696
26,0000	-0,086
26,0500	-0,188
26,1000	0,449
26,1500	1,360
26,2000	1,786
26,2500	1,341
26,3000	0,415
26,3500	-0,201
26,4000	-0,066
26,4500	0,727
26,5000	1,571
26,5500	1,744
26,6000	1,074
26,6500	0,165
26,7000	-0,243
26,7500	0,124
26,8000	1,015
26,8500	1,717
26,9000	1,615
26,9500	0,785
27,0000	-0,036
27,0500	-0,217
27,1000	0,364
27,1500	1,282
27,2000	1,781
27,2500	1,415
27,3000	0,498
27,3500	-0,173
27,4000	-0,112
27,4500	0,636
27,5000	1,510
27,5500	1,767
27,6000	1,162
27,6500	0,239
27,7000	-0,237
27,7500	0,058
27,8000	0,925
27,8500	1,679
27,9000	1,665
27,9500	0,880
28,0000	0,022
28,0500	-0,232
28,1000	0,284
28,1500	1,200
28,2000	1,770
28,2500	1,484
28,3000	0,589
28,3500	-0,135
28,4000	-0,154
28,4500	0,547
28,5000	1,442
28,5500	1,781
28,6000	1,246
28,6500	0,317
28,7000	-0,225
28,7500	-0,002
28,8000	0,834
28,8500	1,634
28,9000	1,703
28,9500	0,968
29,0000	0,082
29,0500	-0,242
29,1000	0,210
29,1500	1,117
29,2000	1,750
29,2500	1,547
29,3000	0,675
29,3500	-0,094
29,4000	-0,182
29,4500	0,467
29,5000	1,378
29,5500	1,786
