#Absolutdruck 1 vs Winkelposition, Messreihe #2
#Winkelposition ( rad )	Absolutdruck 1 ( kPa )
1,638	191,96
1,605	189,88
1,568	187,35
1,527	185,44
1,486	183,10
1,442	180,58
1,400	178,48
1,357	175,70
1,313	173,04
1,269	170,76
1,222	167,54
1,177	164,00
1,128	160,91
1,081	156,71
1,032	152,71
0,985	150,03
0,936	147,05
0,888	144,37
0,840	142,51
0,793	140,30
0,746	138,55
0,699	136,34
0,653	133,42
0,608	130,95
0,562	128,01
0,518	125,23
0,476	123,67
0,434	122,12
0,393	120,62
0,355	119,54
0,317	117,93
0,280	116,17
0,245	114,43
0,212	112,40
0,181	111,22
0,151	109,55
0,123	108,25
0,096	107,14
0,071	106,06
0,049	104,82
0,028	103,70
0,009	102,27
-0,006	101,14
-0,022	100,44
-0,035	99,52
-0,044	98,92
-0,052	98,16
-0,058	97,69
-0,063	97,31
-0,064	96,90
-0,064	96,52
-0,063	96,18
-0,060	95,88
-0,053	95,62
-0,046	95,43
-0,035	95,29
-0,020	95,15
-0,005	95,08
0,013	95,08
0,033	95,27
0,053	95,41
0,074	95,73
0,097	96,02
0,126	96,50
0,154	97,04
0,185	97,55
0,217	98,30
0,250	98,94
0,284	99,77
0,320	100,66
0,358	101,40
0,399	102,35
0,440	103,41
0,481	104,30
0,525	105,59
0,567	106,78
0,613	107,88
0,658	109,16
0,704	110,30
0,752	111,83
0,800	113,72
0,847	115,58
0,894	117,20
0,942	119,05
0,990	120,64
1,038	122,44
1,087	124,25
1,134	125,96
1,181	128,49
1,227	130,84
1,272	134,47
1,318	138,43
1,363	141,84
1,407	144,79
1,450	147,42
1,491	149,18
1,532	151,54
1,569	154,22
1,607	156,48
1,643	159,81
1,679	163,90
1,711	167,68
1,742	171,73
1,772	175,68
1,799	179,02
1,824	182,61
1,847	185,96
1,868	188,64
1,887	192,12
1,904	194,98
1,920	198,23
1,932	200,87
1,943	202,90
1,953	205,25
1,959	207,30
1,963	208,83
1,965	210,58
1,967	211,96
1,965	212,71
1,960	213,42
1,954	213,59
1,945	213,42
1,935	212,88
1,921	211,82
1,907	210,94
1,890	209,60
1,871	208,15
1,850	206,81
1,827	205,04
1,802	203,12
1,773	201,50
1,745	199,33
1,714	197,52
1,682	195,10
1,649	192,81
1,615	190,90
1,577	188,46
1,536	185,97
1,495	183,98
1,455	181,47
1,412	178,78
1,368	176,62
1,324	173,82
1,280	170,88
1,235	168,63
1,188	165,75
1,140	162,86
1,092	160,33
1,045	156,80
0,996	152,75
0,947	149,23
0,900	145,22
0,851	141,83
0,804	139,59
0,757	137,26
0,710	134,91
0,664	133,01
0,619	130,91
0,573	128,86
0,531	126,86
0,487	124,57
0,445	122,58
0,404	120,81
0,364	118,57
0,327	117,00
0,289	114,95
0,253	113,20
0,220	111,02
0,188	109,18
0,159	107,94
0,129	106,67
0,102	106,11
0,077	105,67
0,053	104,85
0,033	104,10
0,014	103,39
-0,003	102,41
-0,017	101,38
-0,031	100,52
-0,041	99,49
-0,050	98,78
-0,057	98,02
-0,061	97,35
-0,064	96,89
-0,064	96,49
-0,063	96,08
-0,060	95,88
-0,053	95,60
-0,046	95,36
-0,036	95,27
-0,025	95,25
-0,011	95,22
0,008	95,26
0,027	95,37
0,049	95,58
0,069	95,86
0,093	96,22
0,118	96,66
0,146	97,19
0,178	97,87
0,209	98,46
0,242	99,26
0,276	99,94
0,311	100,91
0,349	101,78
0,388	102,54
0,427	103,53
0,470	104,54
0,512	105,33
0,556	106,36
0,600	107,50
0,646	108,46
0,691	109,79
0,738	111,15
0,787	113,28
0,834	115,96
0,883	118,27
0,930	121,50
0,977	123,11
1,026	124,46
1,074	126,06
1,122	127,34
1,169	128,39
1,216	130,41
1,261	132,58
1,307	136,29
1,352	140,81
1,396	144,53
1,439	148,94
1,481	152,54
1,521	155,07
1,560	157,75
1,599	159,81
1,635	161,83
1,670	164,94
1,703	169,35
1,734	172,84
1,762	176,26
1,791	179,25
1,817	181,59
1,841	184,37
1,865	187,31
1,883	189,82
1,901	193,06
1,916	195,76
1,929	199,20
1,942	202,41
1,949	204,72
1,957	207,37
1,962	209,53
1,965	210,84
1,967	212,22
1,967	213,07
1,962	213,47
1,957	213,52
1,948	213,35
1,938	212,90
1,926	212,26
1,910	211,23
1,893	210,25
1,876	209,00
1,855	207,40
1,833	206,00
1,808	204,14
1,781	202,43
1,751	200,27
1,722	198,27
1,692	196,34
1,659	194,17
1,623	191,70
1,585	189,82
1,546	187,29
1,505	184,82
1,466	182,62
1,423	179,71
1,381	176,56
1,337	173,98
1,291	170,62
1,246	167,01
1,200	164,34
1,153	161,63
1,104	159,20
1,057	157,30
1,008	154,88
0,961	152,12
0,913	149,62
0,866	146,07
0,817	142,95
0,770	138,83
0,723	135,17
0,677	132,67
0,631	130,02
0,586	127,73
0,542	126,16
0,498	124,06
0,456	122,03
0,415	120,35
0,375	118,25
0,336	116,18
0,300	114,98
0,262	113,27
0,229	112,33
0,196	110,80
0,167	109,25
0,138	107,89
0,110	106,75
0,085	104,82
0,061	103,92
0,039	102,94
0,019	102,24
0,002	101,51
-0,014	100,66
-0,028	100,15
-0,038	99,28
-0,047	98,50
-0,055	97,89
-0,060	97,54
-0,064	96,97
-0,064	96,36
-0,064	95,91
-0,061	95,69
-0,057	95,58
-0,049	95,38
-0,041	95,22
-0,028	95,22
-0,014	95,40
0,003	95,62
0,020	95,87
0,041	96,20
0,061	96,48
0,085	96,85
0,112	97,18
0,140	97,46
0,168	97,88
0,199	98,27
0,232	98,87
0,265	99,45
0,302	100,27
0,339	101,14
0,377	102,06
0,416	102,91
0,457	104,36
0,501	105,65
0,545	106,73
0,589	108,57
0,633	110,07
0,680	111,55
0,726	113,26
0,773	114,74
0,820	116,50
0,869	117,87
0,917	119,04
0,964	120,50
1,013	121,96
1,062	123,28
1,109	125,12
1,156	127,19
1,203	129,00
1,249	131,99
