#FFT von Winkelposition, Daten
#Frequenz ( Hz )	Relative Amplitude (  )
0,0000	1,056
1,9531	1,000
3,9063	0,414
5,8594	0,324
7,8125	0,192
9,7656	0,140
11,7188	0,108
13,6719	0,091
15,6250	0,078
17,5781	0,069
19,5313	0,062
21,4844	0,056
23,4375	0,051
25,3906	0,047
27,3438	0,044
29,2969	0,041
31,2500	0,038
33,2031	0,036
35,1563	0,034
37,1094	0,032
39,0625	0,031
41,0156	0,029
42,9688	0,028
44,9219	0,027
46,8750	0,026
48,8281	0,024
50,7813	0,024
52,7344	0,023
54,6875	0,022
56,6406	0,021
58,5938	0,021
60,5469	0,020
62,5000	0,019
64,4531	0,019
66,4063	0,018
68,3594	0,018
70,3125	0,017
72,2656	0,017
74,2188	0,016
76,1719	0,016
78,1250	0,016
80,0781	0,015
82,0313	0,015
83,9844	0,015
85,9375	0,014
87,8906	0,014
89,8438	0,014
91,7969	0,013
93,7500	0,013
95,7031	0,013
97,6563	0,013
99,6094	0,013
101,5625	0,012
103,5156	0,012
105,4688	0,012
107,4219	0,012
109,3750	0,012
111,3281	0,011
113,2813	0,011
115,2344	0,011
117,1875	0,011
119,1406	0,011
121,0938	0,011
123,0469	0,011
125,0000	0,010
126,9531	0,010
128,9063	0,010
130,8594	0,010
132,8125	0,010
134,7656	0,010
136,7188	0,010
138,6719	0,010
140,6250	0,009
142,5781	0,009
144,5313	0,009
146,4844	0,009
148,4375	0,009
150,3906	0,009
152,3438	0,009
154,2969	0,009
156,2500	0,009
158,2031	0,009
160,1563	0,009
162,1094	0,008
164,0625	0,008
166,0156	0,008
167,9688	0,008
169,9219	0,008
171,8750	0,008
173,8281	0,008
175,7813	0,008
177,7344	0,008
179,6875	0,008
181,6406	0,008
183,5938	0,008
185,5469	0,008
187,5000	0,008
189,4531	0,008
191,4063	0,007
193,3594	0,008
195,3125	0,007
197,2656	0,007
199,2188	0,007
201,1719	0,007
203,1250	0,007
205,0781	0,007
207,0313	0,007
208,9844	0,007
210,9375	0,007
212,8906	0,007
214,8438	0,007
216,7969	0,007
218,7500	0,007
220,7031	0,007
222,6563	0,007
224,6094	0,007
226,5625	0,007
228,5156	0,007
230,4688	0,007
232,4219	0,007
234,3750	0,007
236,3281	0,007
238,2813	0,007
240,2344	0,007
242,1875	0,007
244,1406	0,006
246,0938	0,006
248,0469	0,006
250,0000	0,006
251,9531	0,006
253,9063	0,006
255,8594	0,006
257,8125	0,006
259,7656	0,006
261,7188	0,006
263,6719	0,006
265,6250	0,006
267,5781	0,006
269,5313	0,006
271,4844	0,006
273,4375	0,006
275,3906	0,006
277,3438	0,006
279,2969	0,006
281,2500	0,006
283,2031	0,006
285,1563	0,006
287,1094	0,006
289,0625	0,006
291,0156	0,006
292,9688	0,006
294,9219	0,006
296,8750	0,006
298,8281	0,006
300,7813	0,006
302,7344	0,006
304,6875	0,006
306,6406	0,006
308,5938	0,006
310,5469	0,006
312,5000	0,006
314,4531	0,006
316,4063	0,006
318,3594	0,006
320,3125	0,006
322,2656	0,006
324,2188	0,006
326,1719	0,006
328,1250	0,006
330,0781	0,006
332,0313	0,006
333,9844	0,006
335,9375	0,006
337,8906	0,006
339,8438	0,006
341,7969	0,006
343,7500	0,006
345,7031	0,006
347,6563	0,006
349,6094	0,006
351,5625	0,006
353,5156	0,006
355,4688	0,006
357,4219	0,006
359,3750	0,006
361,3281	0,006
363,2813	0,006
365,2344	0,006
367,1875	0,006
369,1406	0,005
371,0938	0,006
373,0469	0,005
375,0000	0,006
376,9531	0,005
378,9063	0,005
380,8594	0,005
382,8125	0,005
384,7656	0,005
386,7188	0,005
388,6719	0,005
390,6250	0,005
392,5781	0,005
394,5313	0,005
396,4844	0,005
398,4375	0,005
400,3906	0,005
402,3438	0,005
404,2969	0,005
406,2500	0,005
408,2031	0,005
410,1563	0,005
412,1094	0,005
414,0625	0,005
416,0156	0,005
417,9688	0,005
419,9219	0,005
421,8750	0,005
423,8281	0,005
425,7813	0,005
427,7344	0,005
429,6875	0,005
431,6406	0,005
433,5938	0,005
435,5469	0,005
437,5000	0,005
439,4531	0,005
441,4063	0,005
443,3594	0,005
445,3125	0,005
447,2656	0,005
449,2188	0,005
451,1719	0,005
453,1250	0,005
455,0781	0,005
457,0313	0,005
458,9844	0,005
460,9375	0,005
462,8906	0,005
464,8438	0,005
466,7969	0,005
468,7500	0,005
470,7031	0,005
472,6563	0,005
474,6094	0,005
476,5625	0,005
478,5156	0,005
480,4688	0,005
482,4219	0,005
484,3750	0,005
486,3281	0,005
488,2813	0,005
490,2344	0,005
492,1875	0,005
494,1406	0,005
496,0938	0,005
498,0469	0,005
