#Winkelposition, Messreihe #1
#Zeit ( s )	Winkelposition ( rad )
0,0000	1,263
0,0010	1,246
0,0020	1,225
0,0030	1,202
0,0040	1,177
0,0050	1,151
0,0060	1,126
0,0070	1,101
0,0080	1,076
0,0090	1,049
0,0100	1,021
0,0110	0,991
0,0120	0,961
0,0130	0,930
0,0140	0,898
0,0150	0,867
0,0160	0,834
0,0170	0,801
0,0180	0,768
0,0190	0,735
0,0200	0,701
0,0210	0,666
0,0220	0,630
0,0230	0,594
0,0240	0,559
0,0250	0,523
0,0260	0,487
0,0270	0,451
0,0280	0,415
0,0290	0,379
0,0300	0,342
0,0310	0,306
0,0320	0,270
0,0330	0,234
0,0340	0,199
0,0350	0,163
0,0360	0,129
0,0370	0,094
0,0380	0,061
0,0390	0,028
0,0400	-0,005
0,0410	-0,038
0,0420	-0,069
0,0430	-0,099
0,0440	-0,130
0,0450	-0,160
0,0460	-0,188
0,0470	-0,215
0,0480	-0,242
0,0490	-0,267
0,0500	-0,292
0,0510	-0,317
0,0520	-0,341
0,0530	-0,363
0,0540	-0,383
0,0550	-0,404
0,0560	-0,423
0,0570	-0,440
0,0580	-0,457
0,0590	-0,473
0,0600	-0,487
0,0610	-0,501
0,0620	-0,512
0,0630	-0,523
0,0640	-0,534
0,0650	-0,542
0,0660	-0,550
0,0670	-0,556
0,0680	-0,561
0,0690	-0,565
0,0700	-0,567
0,0710	-0,569
0,0720	-0,569
0,0730	-0,567
0,0740	-0,565
0,0750	-0,564
0,0760	-0,559
0,0770	-0,554
0,0780	-0,548
0,0790	-0,539
0,0800	-0,529
0,0810	-0,518
0,0820	-0,507
0,0830	-0,495
0,0840	-0,481
0,0850	-0,467
0,0860	-0,451
0,0870	-0,434
0,0880	-0,415
0,0890	-0,396
0,0900	-0,375
0,0910	-0,355
0,0920	-0,333
0,0930	-0,309
0,0940	-0,284
0,0950	-0,261
0,0960	-0,234
0,0970	-0,207
0,0980	-0,181
0,0990	-0,152
0,1000	-0,121
0,1010	-0,091
0,1020	-0,061
0,1030	-0,031
0,1040	0,000
0,1050	0,033
0,1060	0,066
0,1070	0,101
0,1080	0,135
0,1090	0,170
0,1100	0,204
0,1110	0,239
0,1120	0,273
0,1130	0,309
0,1140	0,344
0,1150	0,380
0,1160	0,416
0,1170	0,452
0,1180	0,489
0,1190	0,525
0,1200	0,559
0,1210	0,595
0,1220	0,630
0,1230	0,664
0,1240	0,701
0,1250	0,734
0,1260	0,768
0,1270	0,801
0,1280	0,836
0,1290	0,869
0,1300	0,900
0,1310	0,931
0,1320	0,963
0,1330	0,993
0,1340	1,021
0,1350	1,051
0,1360	1,078
0,1370	1,106
0,1380	1,131
0,1390	1,156
0,1400	1,180
0,1410	1,203
0,1420	1,225
0,1430	1,247
0,1440	1,268
0,1450	1,286
0,1460	1,305
0,1470	1,323
0,1480	1,338
0,1490	1,354
0,1500	1,368
0,1510	1,381
0,1520	1,392
0,1530	1,403
0,1540	1,412
0,1550	1,422
0,1560	1,429
0,1570	1,436
0,1580	1,440
0,1590	1,444
0,1600	1,447
0,1610	1,448
0,1620	1,450
0,1630	1,450
0,1640	1,450
0,1650	1,447
0,1660	1,445
0,1670	1,440
0,1680	1,434
0,1690	1,428
0,1700	1,420
0,1710	1,412
0,1720	1,401
0,1730	1,390
0,1740	1,378
0,1750	1,365
0,1760	1,349
0,1770	1,334
0,1780	1,318
0,1790	1,301
0,1800	1,282
0,1810	1,263
0,1820	1,243
0,1830	1,221
0,1840	1,199
0,1850	1,175
0,1860	1,148
0,1870	1,123
0,1880	1,098
0,1890	1,071
0,1900	1,045
0,1910	1,016
0,1920	0,988
0,1930	0,957
0,1940	0,925
0,1950	0,894
